Layer 0:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 1:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 2:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 3:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 4:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 5:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 6:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 7:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 8:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 9:  MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 10: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 11: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 12: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 13: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 14: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 15: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 16: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 17: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 18: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 19: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 20: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 21: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 22: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles
Layer 23: MatMul=81.94 cycles, Softmax=0.01 cycles, LayerNorm=0.01 cycles, Memory=100.00 cycles

